GeneID,pvalue,medDSSLS,meanDSSLS,sdDSSLS,bon.pvalue,fdr.pvalue,TreePvalue
FBgn0085327,5.44e-05,0.74396692,0.479091257,1.066912974,0.555729587,0.008489471,0.00666666666666667
FBgn0037536,6.29e-05,0.00231518,-0.014302893,0.197647944,0.643052534,0.009530202,0.00666666666666667
FBgn0033886,8.06e-05,0.01334217,-0.146476422,0.686872466,0.824263535,0.011692261,0.00666666666666667
FBgn0001220,0.000187155,0.00070697,-0.007698281,0.185724143,1,0.023747634,0.00666666666666667
FBgn0024273,0.000309625,0.00673313,-0.012844088,0.186494209,1,0.036126525,0.00666666666666667
FBgn0034346,0.000760964,0.00122943,-0.015482311,0.206789667,1,0.077396769,0.00666666666666667
FBgn0050274,0.001018208,0.00257234,-0.000672928,0.023456697,1,0.099383023,0.00666666666666667
FBgn0264695,0.00157431,0.01384646,-0.00688733,0.165514155,1,0.14018267,0.00666666666666667
FBgn0035264,0.002694774,0.00161645,-0.004569424,0.117316328,1,0.227955397,0.00666666666666667
FBgn0037709,0.003319059,8.05e-05,-0.007043653,0.234279165,1,0.271707797,0.00666666666666667
FBgn0027546,0.005188532,0.01401605,-0.161694309,0.706428487,1,0.387270475,0.00666666666666667
FBgn0028401,0.007722887,0.0014877,-0.007940857,0.201728165,1,0.529696154,0.00666666666666667
FBgn0037073,0.010339873,0.0025139,0.00869167,0.174791814,1,0.686013377,0.00666666666666667
FBgn0040208,0.018501454,0.00176223,-0.007957598,0.321668419,1,1,0.00666666666666667
FBgn0003189,0.019952251,0.00689135,-0.021698288,0.261510733,1,1,0.00666666666666667
FBgn0028482,0.021343091,0.00817756,-0.007371779,0.203390579,1,1,0.00666666666666667
FBgn0264301,0.023504718,0.01271397,-0.008522492,0.242370026,1,1,0.00666666666666667
FBgn0037016,0.0266192,0.02782929,-0.016515567,0.235555016,1,1,0.00666666666666667
FBgn0025628,0.033301172,0.00176179,-0.016943447,0.230629408,1,1,0.00666666666666667
FBgn0035901,0.035873211,0.00252064,-0.009729203,0.175843073,1,1,0.00666666666666667
FBgn0038282,0.03644116,0.03523732,-0.052236258,0.374590678,1,1,0.00666666666666667
FBgn0000307,0.03725911,0.00110002,0.003941158,0.135039668,1,1,0.00666666666666667
FBgn0015872,0.037905517,-0.00346252,-0.017771744,0.235916073,1,1,0.00666666666666667
FBgn0010660,0.040526004,0.00162388,-0.016322323,0.22574061,1,1,0.00666666666666667
FBgn0037850,1.43e-05,-0.01257327,0.138591317,0.569298854,0.14614167,0.002591293,0.0133333333333333
FBgn0031520,4.3e-05,0.00928714,-0.015040712,0.199739108,0.439997473,0.006934898,0.0133333333333333
FBgn0038720,9.92e-05,0.00701329,-0.018703903,0.265068085,1,0.013987814,0.0133333333333333
FBgn0028544,0.001412183,0.01044168,-0.01993745,0.273757615,1,0.128461008,0.0133333333333333
FBgn0051183,0.002200274,0.00149193,-0.009657572,0.169998651,1,0.189279476,0.0133333333333333
FBgn0038596,0.002747588,0.03450246,-0.156019631,0.764761872,1,0.230502229,0.0133333333333333
FBgn0032247,0.002864847,0.01072013,-0.00898177,0.209228987,1,0.236431414,0.0133333333333333
FBgn0023527,0.02216465,0.00925059,-0.01141481,0.178530489,1,1,0.0133333333333333
FBgn0031703,0.026631251,0.00171764,-0.011352238,0.163961201,1,1,0.0133333333333333
FBgn0022268,0.03011183,0.00431315,-0.000607062,0.172288754,1,1,0.0133333333333333
FBgn0000384,0.031500275,0.0015453,-0.164056477,0.616864114,1,1,0.0133333333333333
FBgn0038020,0.034330011,0.01626899,0.034970412,0.518385639,1,1,0.0133333333333333
FBgn0034488,0.044049433,0.01338763,-0.001506652,0.136947939,1,1,0.0133333333333333
FBgn0031055,0.04460675,0.03659213,0.060972294,0.68121144,1,1,0.0133333333333333
FBgn0085390,2.51e-24,0.04757579,0.336821836,0.811010568,2.56e-20,6.37e-21,0.02
FBgn0004171,5.84e-12,0.01765967,-0.081362188,0.540562482,5.97e-08,3.29e-09,0.02
FBgn0261844,1.36e-07,0.02920849,-0.055795318,0.452765647,0.001386297,3.62e-05,0.02
FBgn0038632,6.51e-07,0.01957698,-0.155311291,0.612391711,0.006652153,0.000150121,0.02
FBgn0042627,0.000372624,-5.46e-05,-0.008809998,0.150188303,1,0.042027827,0.02
FBgn0015829,0.009235273,0.02011512,-0.025798118,0.29600827,1,0.616758274,0.02
FBgn0034050,0.028057026,0.00137085,-0.015208865,0.222172533,1,1,0.02
FBgn0002571,0.03585913,0.00306284,-0.017401874,0.254181339,1,1,0.02
FBgn0001219,0.047638877,-0.00851206,-0.013076244,0.294272424,1,1,0.02
FBgn0002735,6.22e-05,0.01632874,-0.173280878,0.675954165,0.635876813,0.009530202,0.0266666666666667
FBgn0035649,0.001332875,0.00573539,-0.012546228,0.228521837,1,0.126448695,0.0266666666666667
FBgn0000454,0.001415709,0.00154573,-0.010903026,0.17095342,1,0.128461008,0.0266666666666667
FBgn0030882,0.027007099,0.002352935,-0.012225863,0.261383905,1,1,0.0266666666666667
FBgn0017456,0.042501435,0.02003459,-0.040736759,0.497176814,1,1,0.0266666666666667
FBgn0052495,0.029589447,0.00243242,-0.012225702,0.261266472,1,1,0.0333333333333333
FBgn0003747,6.64e-10,0.03850039,0.386250548,1.249100958,6.79e-06,2.7e-07,0.04
FBgn0034785,9.17e-06,0.02429703,-0.044428642,1.348745515,0.093732682,0.001723565,0.04
FBgn0086694,1.88e-05,0.04491168,-0.15056801,0.694399224,0.192422735,0.003300022,0.0466666666666667
FBgn0037675,1.89e-05,0.05221407,0.177291757,0.975317775,0.192758876,0.003300022,0.0533333333333333
